trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2022-01-04,000001.SZ,16.48,16.66,16.18,16.66,16.48,0.18,1.0922,1169259.33,1918887.05
2022-01-05,000001.SZ,16.58,17.22,16.55,17.15,16.66,0.49,2.9412,1961998.17,3344124.589
2022-01-06,000001.SZ,17.11,17.27,17.0,17.12,17.15,-0.03,-0.1749,1107885.19,1896535.837
2022-01-07,000001.SZ,17.1,17.28,17.06,17.2,17.12,0.08,0.4673,1126630.7,1937710.958
2022-01-10,000001.SZ,17.29,17.42,17.03,17.19,17.2,-0.01,-0.0581,909774.01,1563414.572
2022-01-11,000001.SZ,17.26,17.54,17.14,17.41,17.19,0.22,1.2798,1581999.4,2752485.391
2022-01-12,000001.SZ,17.41,17.45,16.9,17.0,17.41,-0.41,-2.355,1502163.55,2561266.412
2022-01-13,000001.SZ,16.91,17.24,16.82,16.98,17.0,-0.02,-0.1176,909422.65,1550319.158
2022-01-14,000001.SZ,17.0,17.02,16.3,16.33,16.98,-0.65,-3.828,2103094.91,3459950.804
2022-01-17,000001.SZ,16.35,16.48,16.12,16.22,16.33,-0.11,-0.6736,1143689.43,1855633.789
2022-01-18,000001.SZ,16.25,16.54,16.16,16.52,16.22,0.3,1.8496,1152974.31,1891094.61
2022-01-19,000001.SZ,16.54,16.69,16.36,16.5,16.52,-0.02,-0.1211,988391.85,1630973.587
2022-01-20,000001.SZ,16.47,17.46,16.42,17.33,16.5,0.83,5.0303,3031193.77,5195805.549
2022-01-21,000001.SZ,17.45,17.56,17.21,17.35,17.33,0.02,0.1154,1481682.95,2575115.124
2022-01-24,000001.SZ,17.34,17.38,16.98,17.2,17.35,-0.15,-0.8646,874770.87,1501390.339
2022-01-25,000001.SZ,17.08,17.08,16.81,16.85,17.2,-0.35,-2.0349,1093283.97,1851999.025
2022-01-26,000001.SZ,16.95,17.1,16.54,16.65,16.85,-0.2,-1.1869,984975.22,1646384.984
2022-01-27,000001.SZ,16.5,16.54,16.25,16.3,16.65,-0.35,-2.1021,1024643.11,1677261.296
2022-01-28,000001.SZ,16.39,16.45,15.82,15.83,16.3,-0.47,-2.8834,1675563.67,2695470.33
2022-02-07,000001.SZ,16.02,16.41,15.89,16.39,15.83,0.56,3.5376,1515476.3,2451798.485
2022-02-08,000001.SZ,16.3,16.97,16.26,16.83,16.39,0.44,2.6846,1754695.28,2950309.012
2022-02-09,000001.SZ,16.92,17.0,16.71,16.86,16.83,0.03,0.1783,1051161.66,1774253.636
2022-02-10,000001.SZ,16.77,17.03,16.67,16.99,16.86,0.13,0.7711,784557.35,1326848.947
2022-02-11,000001.SZ,17.03,17.34,17.03,17.1,16.99,0.11,0.6474,1078139.14,1852167.493
2022-02-14,000001.SZ,17.1,17.15,16.51,16.58,17.1,-0.52,-3.0409,1150658.51,1917613.419
2022-02-15,000001.SZ,16.5,16.67,16.1,16.28,16.58,-0.3,-1.8094,1208264.37,1968985.378
2022-02-16,000001.SZ,16.35,16.53,16.21,16.41,16.28,0.13,0.7985,782399.59,1282234.15
2022-02-17,000001.SZ,16.39,16.55,16.32,16.42,16.41,0.01,0.0609,794501.84,1306514.349
2022-02-18,000001.SZ,16.32,16.77,16.31,16.77,16.42,0.35,2.1315,802499.4,1330233.365
2022-02-21,000001.SZ,16.66,16.67,16.32,16.51,16.77,-0.26,-1.5504,800994.55,1316023.718
2022-02-22,000001.SZ,16.31,16.44,16.16,16.23,16.51,-0.28,-1.6959,894956.73,1454156.224
2022-02-23,000001.SZ,16.3,16.31,16.04,16.19,16.23,-0.04,-0.2465,886742.44,1431289.852
2022-02-24,000001.SZ,16.13,16.15,15.8,15.91,16.19,-0.28,-1.7295,1324086.85,2112842.553
2022-02-25,000001.SZ,15.99,16.08,15.87,15.9,15.91,-0.01,-0.0629,726397.07,1157890.268
2022-02-28,000001.SZ,15.9,15.92,15.62,15.75,15.9,-0.15,-0.9434,723990.45,1137154.094
2022-03-01,000001.SZ,15.79,15.95,15.62,15.92,15.75,0.17,1.0794,935040.34,1474693.965
2022-03-02,000001.SZ,15.79,15.87,15.66,15.68,15.92,-0.24,-1.5075,760760.86,1196321.948
2022-03-03,000001.SZ,15.73,15.81,15.63,15.71,15.68,0.03,0.1913,578285.05,908171.588
2022-03-04,000001.SZ,15.62,15.63,15.28,15.33,15.71,-0.38,-2.4188,990935.66,1523793.664
2022-03-07,000001.SZ,15.17,15.17,14.66,14.72,15.33,-0.61,-3.9791,1113158.99,1655959.941
